Tipo de Reporte;Matricula;Aeródromo;Data;Hora ;Fase do Voo;Efeito no voo
AVISTAMENTO;;SBBH;09/07/2019;13:08;Aproximação;Nenhum
AVISTAMENTO;FAB2285;SBNT;09/07/2019;10:20;Aproximação;Nenhum
AVISTAMENTO;PRVSA;SBBH;09/07/2019;17:43;Táxi;Nenhum
AVISTAMENTO;FAB5902;SBNT;09/07/2019;10:50;Táxi;Nenhum
AVISTAMENTO;2318;SBNT;08/07/2019;09:20;Cruzeiro;Nenhum
QUASE COLISÃO;5906;SBNT;08/07/2019;08:00;Aproximação;outros
AVISTAMENTO;;SBNT;08/07/2019;10:00;Cruzeiro;Nenhum
AVISTAMENTO;PTIKQ;SBBH;08/07/2019;13:29;Descida;Nenhum
AVISTAMENTO;;SBPB;08/07/2019;18:00;Revisão de pista;Nenhum
AVISTAMENTO;GLO2185;SBGL;08/07/2019;11:59;Descida;Nenhum
AVISTAMENTO;;SBJU;08/07/2019;18:55;Revisão de pista;Nenhum
QUASE COLISÃO;FAB4812;SBAN;08/07/2019;12:15;Pouso;Desestabilização na aproximação
AVISTAMENTO;PRGYD;SBGL;08/07/2019;15:02;Táxi;Nenhum
AVISTAMENTO;PRGEE;SBGR;08/07/2019;16:42;Aproximação;Nenhum
AVISTAMENTO;FAB5901;SBNT;08/07/2019;12:00;Inspeção de trânsito/intervoo;Nenhum
AVISTAMENTO;;SBSP;08/07/2019;16:09;Revisão de pista;Nenhum
AVISTAMENTO;;SBPL;07/07/2019;10:08;Revisão de pista;Nenhum
AVISTAMENTO;PRBBD;SBRJ;07/07/2019;09:34;Aproximação;Nenhum
AVISTAMENTO;PREFX;SBMI;07/07/2019;14:44;Decolagem;Nenhum
AVISTAMENTO;2734;SBMN;07/07/2019;14:00;Pouso;Pouso de precaução
QUASE COLISÃO;PREFX;SBMI;07/07/2019;14:45;Decolagem;Desestabilização na aproximação
AVISTAMENTO;;SBMT;07/07/2019;13:32;Revisão de pista;Nenhum
AVISTAMENTO;PTJAA;SBSP;06/07/2019;10:07;Táxi;Nenhum
AVISTAMENTO;PREFX;9PDV;06/07/2019;08:30;Decolagem;outros
AVISTAMENTO;PRSEE;SBME;06/07/2019;14:00;Aproximação;Nenhum
AVISTAMENTO;;SBRF;06/07/2019;16:00;Revisão de pista;Nenhum
QUASE COLISÃO;FAB5539;SBSM;06/07/2019;07:45;Decolagem;outros
AVISTAMENTO;;SBFS;06/07/2019;15:33;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;06/07/2019;16:31;Revisão de pista;Nenhum
AVISTAMENTO;5039;SBLO;06/07/2019;12:00;Cruzeiro;Nenhum
QUASE COLISÃO;PRSEF;9PIX;05/07/2019;07:30;Pouso;Desestabilização na aproximação
AVISTAMENTO;PPPTO;SBRP;05/07/2019;12:05;Pouso;Não reportada
AVISTAMENTO;FAB2318;SBNT;05/07/2019;14:00;NBA;Nenhum
AVISTAMENTO;FAB5915;SBNT;05/07/2019;09:40;NBA;Nenhum
AVISTAMENTO;;SBCB;05/07/2019;06:50;Táxi;Nenhum
AVISTAMENTO;PRMAU;SNMZ;05/07/2019;11:48;Táxi;Nenhum
AVISTAMENTO;;SBSP;05/07/2019;10:49;Revisão de pista;Nenhum
AVISTAMENTO;;SBKP;05/07/2019;20:22;Revisão de pista;Nenhum
AVISTAMENTO;;SBBV;05/07/2019;15:30;Aproximação;Nenhum
AVISTAMENTO;1022;SBES;04/07/2019;10:20;Aproximação;Desestabilização na aproximação
AVISTAMENTO;PTXIS;SBBH;04/07/2019;11:39;Pouso;Nenhum
AVISTAMENTO;;SBRF;04/07/2019;09:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBRF;04/07/2019;16:00;Revisão de pista;Nenhum
AVISTAMENTO;FAB2303;SBNT;04/07/2019;11:10;Subida;Nenhum
AVISTAMENTO;FAB5912;SBNT;04/07/2019;16:00;Decolagem;Nenhum
AVISTAMENTO;FAB2312;SBNT;04/07/2019;08:00;Cruzeiro;Nenhum
AVISTAMENTO;;SBMT;04/07/2019;12:15;Revisão de pista;Nenhum
AVISTAMENTO;PRSEF;9PCI;03/07/2019;08:43;Decolagem;Nenhum
AVISTAMENTO;PROMY;SBME;03/07/2019;10:20;Aproximação;Nenhum
AVISTAMENTO;1022;SBES;03/07/2019;11:20;Pouso;Nenhum
AVISTAMENTO;PPINQ;SBBH;03/07/2019;12:14;Aproximação;Nenhum
AVISTAMENTO;FAB4826;SBAN;03/07/2019;10:55;Táxi;Nenhum
AVISTAMENTO;C98;SBSL;03/07/2019;15:00;Aproximação;Nenhum
AVISTAMENTO;;SBRF;03/07/2019;16:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBSP;03/07/2019;08:43;Revisão de pista;Nenhum
AVISTAMENTO;FAB1444;SBYS;03/07/2019;10:37;Estacionamento;Nenhum
AVISTAMENTO;5703;SBYS;03/07/2019;10:56;Aproximação;Nenhum
AVISTAMENTO;FAB2339;SBNT;03/07/2019;14:20;Aproximação;Nenhum
COLISÃO;PRAYJ;SBCF;03/07/2019;17:21;Aproximação;Nenhum
QUASE COLISÃO;;SBNT;03/07/2019;11:05;Aproximação;Desestabilização na aproximação
AVISTAMENTO;;SBJU;03/07/2019;10:35;Revisão de pista;Nenhum
QUASE COLISÃO;FAB4823;SBAN;03/07/2019;10:50;Aproximação;Desestabilização na aproximação
AVISTAMENTO;;SBMT;03/07/2019;12:32;Revisão de pista;Nenhum
AVISTAMENTO;5043;SBFI;03/07/2019;14:00;Decolagem;Nenhum
QUASE COLISÃO;FAB2729;SBBE;02/07/2019;10:00;Aproximação;Desestabilização na aproximação
COLISÃO;;SBCG;02/07/2019;00:05;Revisão de pista;Não reportada
AVISTAMENTO;PPBIC;SBUR;02/07/2019;12:09;Decolagem;Nenhum
AVISTAMENTO;PAM5962;SBSN;02/07/2019;11:01;Decolagem;Nenhum
QUASE COLISÃO;FAB4870;SBAN;02/07/2019;11:00;Pouso;Desestabilização na aproximação
COLISÃO;;SBPR;02/07/2019;08:50;Inspeção de trânsito/intervoo;Nenhum
AVISTAMENTO;;SBCO;02/07/2019;12:00;Revisão de pista;Nenhum
AVISTAMENTO;;SBRF;02/07/2019;11:00;Revisão de pista;Nenhum
COLISÃO;AZU2701;SBFN;02/07/2019;15:47;Decolagem;Nenhum
COLISÃO;PRAKB;SBRF;02/07/2019;14:00;Decolagem;Nenhum
COLISÃO;5919;SBNT;02/07/2019;11:50;Aproximação;outros
COLISÃO;AZU5287;SBSL;02/07/2019;18:24;Pouso;Nenhum
QUASE COLISÃO;PPBIC;SBUR;02/07/2019;12:10;Decolagem;Nenhum
AVISTAMENTO;;SBFL;02/07/2019;20:24;Revisão de pista;Nenhum
AVISTAMENTO;;SBNT;02/07/2019;20:45;Estacionamento;Nenhum
COLISÃO;2342;SBST;02/07/2019;16:00;Pouso;Desestabilização na aproximação
AVISTAMENTO;PTXPI;SBGR;02/07/2019;20:17;Táxi;Nenhum
AVISTAMENTO;N1022;SBES;02/07/2019;11:30;Aproximação;Nenhum
COLISÃO;PRAXH;SBCF;02/07/2019;23:56;Decolagem;Nenhum
COLISÃO;2342;SBST;02/07/2019;15:05;Pouso;Nenhum
AVISTAMENTO;;SBSP;02/07/2019;09:49;Revisão de pista;Nenhum
COLISÃO;PRAKL;SBDO;02/07/2019;16:00;Decolagem;Nenhum
COLISÃO;PRAXS;SBSL;02/07/2019;18:28;Pouso;Nenhum
AVISTAMENTO;FAB2318;SBNT;02/07/2019;10:00;Aproximação;Nenhum
QUASE COLISÃO;FAB2318;SBNT;02/07/2019;13:50;Aproximação;Nenhum
COLISÃO;PRGTQ;SBPV;02/07/2019;10:52;Decolagem;Nenhum
COLISÃO;PRGTV;SBSP;02/07/2019;12:00;Inspeção de trânsito/intervoo;Nenhum
QUASE COLISÃO;5947;SBNT;02/07/2019;13:45;Aproximação;Nenhum
AVISTAMENTO;FAB5901;SBNT;02/07/2019;13:15;Aproximação;Nenhum
COLISÃO;;SBKP;02/07/2019;23:39;Revisão de pista;Nenhum
QUASE COLISÃO;FAB1386;SBYS;01/07/2019;13:40;Aproximação;outros
AVISTAMENTO;FAB1394;SBYS;01/07/2019;09:30;Aproximação;Nenhum
AVISTAMENTO;N1022;SBES;01/07/2019;09:30;Aproximação;Nenhum
QUASE COLISÃO;PRSED;9PCI;01/07/2019;16:20;Pouso;Desestabilização na aproximação
AVISTAMENTO;;SBSP;01/07/2019;16:31;Revisão de pista;Nenhum
AVISTAMENTO;;SBCO;01/07/2019;14:00;Estacionamento;Nenhum
AVISTAMENTO;;SBYS;01/07/2019;10:30;Estacionamento;Nenhum
QUASE COLISÃO;1944;SBYS;01/07/2019;16:00;Decolagem;Nenhum
AVISTAMENTO;FAB2318;SBNT;01/07/2019;12:45;Aproximação;Nenhum
COLISÃO;PRGEC;SWPI;01/07/2019;03:40;Pouso;Nenhum
QUASE COLISÃO;PRSED;9PCI;01/07/2019;16:20;Pouso;Nenhum
